Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
PGLYRP1	207384_at	0.04618	0.00184525	3.7569707	-1.15768	3.99235102	peptidoglycan recognition protein 1
	1556879_at	0.04618	0.00184333	3.757475	-1.156714	2.03696229	
PIK3CG	239294_at	0.04618	0.00184365	3.7573913	-1.156874	2.00645335	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
	236742_at	0.04618	0.0018457	3.7568512	-1.157909	1.3400535	
SFXN4	229236_s_at	0.04618	0.00184364	-3.757394	-1.156869	-1.28161344	sideroflexin 4
IL17RA	229295_at	0.04614	0.00183926	3.7585437	-1.154666	1.68995615	interleukin 17 receptor A
LANCL1	202020_s_at	0.04614	0.00183981	-3.7583999	-1.154942	-1.18486928	LanC like 1
	AFFX-DapX-5_at	0.04613	0.00183762	3.7589764	-1.153837	3.70151658	
	231311_at	0.04609	0.00183504	-3.7596549	-1.152537	-2.68082374	
HOXA13	231786_at	0.04605	0.00183225	3.760392	-1.151125	2.80364707	homeobox A13
CDC42SE1	218157_x_at	0.04605	0.00183153	3.7605824	-1.15076	1.02011952	CDC42 small effector 1
DHX37	223364_s_at	0.04605	0.00183271	-3.7602718	-1.151355	-1.96975735	DEAH-box helicase 37
	AFFX-r2-Bs-lys-M_at	0.04603	0.00182536	3.7622157	-1.147631	3.29807851	
MMP9	203936_s_at	0.04603	0.00182942	3.7611391	-1.149693	3.11442043	matrix metallopeptidase 9
NCF2	209949_at	0.04603	0.00182376	3.7626401	-1.146817	2.25867067	neutrophil cytosolic factor 2
CSF2RA	207085_x_at	0.04603	0.00182498	3.7623164	-1.147438	1.70970591	colony stimulating factor 2 receptor alpha subunit
SCN10A	208578_at	0.04603	0.00181891	3.7639297	-1.144346	1.5706915	sodium voltage-gated channel alpha subunit 10
SETSIP///SETP4///SET	215780_s_at	0.04603	0.00182926	-3.7611836	-1.149608	-1.01662261	SET-like protein///SET pseudogene 4///SET nuclear proto-oncogene
EIF5B	201024_x_at	0.04603	0.00182929	-3.7611758	-1.149623	-1.04615397	eukaryotic translation initiation factor 5B
LYRM7	228841_at	0.04603	0.00182188	-3.7631404	-1.145859	-1.16450723	LYR motif containing 7
TM7SF3	222477_s_at	0.04603	0.00182524	-3.7622472	-1.14757	-1.17611243	transmembrane 7 superfamily member 3
GSS	201415_at	0.04603	0.00182544	-3.7621953	-1.14767	-1.20254164	glutathione synthetase
GOT2	200708_at	0.04603	0.00182808	-3.7614938	-1.149014	-1.25482629	glutamic-oxaloacetic transaminase 2
PM20D2	225421_at	0.04603	0.00182668	-3.7618659	-1.148301	-1.48134651	peptidase M20 domain containing 2
CBX5	226085_at	0.04603	0.00182416	-3.7625344	-1.14702	-1.72478737	chromobox 5
FAXDC2	48031_r_at	0.04603	0.0018291	-3.7612255	-1.149528	-1.95451859	fatty acid hydroxylase domain containing 2
TLE1	203222_s_at	0.04603	0.00181984	-3.7636811	-1.144823	-2.00279522	transducin like enhancer of split 1
STAT3	208992_s_at	0.04592	0.00181232	3.7656863	-1.140981	1.10967903	signal transducer and activator of transcription 3
PCDH17	227289_at	0.04588	0.00180994	3.7663227	-1.139762	1.52207748	protocadherin 17
KCNE3	222922_at	0.04585	0.00180726	3.7670399	-1.138388	2.14266611	potassium voltage-gated channel subfamily E regulatory subunit 3
