Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
TSPAN32	233467_s_at	0.04414	0.00161055	3.8228484	-1.0315	1.14237586	tetraspanin 32
ZNF664	224593_at	0.04414	0.00161048	-3.822871	-1.031457	-1.97505398	zinc finger protein 664
WDR1	200609_s_at	0.04407	0.00160661	3.8240368	-1.029225	1.13567157	WD repeat domain 1
SLC22A24	1553923_at	0.04405	0.00160493	3.8245434	-1.028255	1.19972381	solute carrier family 22 member 24
CCDC97	225254_at	0.04402	0.00160284	3.8251735	-1.027049	1.65549153	coiled-coil domain containing 97
PAK1	230100_x_at	0.044	0.00160155	3.8255657	-1.026298	1.22947063	p21 (RAC1) activated kinase 1
MFHAS1	225478_at	0.044	0.00160131	-3.8256372	-1.026161	-2.26744921	malignant fibrous histiocytoma amplified sequence 1
AGO4	219190_s_at	0.04398	0.00159813	3.8265992	-1.024319	1.41015828	"argonaute 4, RISC catalytic component"
ANAPC5	200098_s_at	0.04398	0.00159883	-3.8263888	-1.024722	-1.09626526	anaphase promoting complex subunit 5
TMEM9	222988_s_at	0.04398	0.00159918	-3.8262813	-1.024928	-1.41649825	transmembrane protein 9
ECT2	219787_s_at	0.04398	0.00159799	-3.8266422	-1.024237	-1.56058933	epithelial cell transforming 2
SNAPC4	205658_s_at	0.04398	0.00159619	-3.8271899	-1.023188	-2.03481111	small nuclear RNA activating complex polypeptide 4
PIK3AP1	226459_at	0.04395	0.00159305	3.8281437	-1.021363	1.53374402	phosphoinositide-3-kinase adaptor protein 1
TTYH2	223741_s_at	0.04395	0.00159406	-3.8278355	-1.021953	-2.26489332	tweety family member 2
	1563721_at	0.04388	0.00159	3.8290727	-1.019584	2.21290133	
CALR	200935_at	0.04388	0.0015895	-3.8292249	-1.019293	-1.84661861	calreticulin
TEX13A	221429_x_at	0.04386	0.0015876	3.8298052	-1.018182	2.19324384	testis expressed 13A
MAX	209332_s_at	0.04385	0.00158622	3.8302268	-1.017375	1.23577933	MYC associated factor X
FANCI	213007_at	0.04385	0.00158649	-3.830143	-1.017535	-1.50647558	Fanconi anemia complementation group I
	1560111_at	0.04383	0.00158211	3.8314828	-1.01497	2.70224328	
	240481_at	0.04383	0.00157879	3.8324992	-1.013025	2.17202692	
	1564718_at	0.04383	0.00157984	3.8321796	-1.013636	1.95829652	
RGL2	209110_s_at	0.04383	0.00158416	3.8308559	-1.01617	1.31328739	ral guanine nucleotide dissociation stimulator like 2
AP3S1	202442_at	0.04383	0.00158208	3.8314922	-1.014952	1.20173859	adaptor related protein complex 3 sigma 1 subunit
POLR1C	209317_at	0.04383	0.00158387	-3.8309444	-1.016001	-1.11714389	RNA polymerase I subunit C
FH	203033_x_at	0.04383	0.0015824	-3.8313938	-1.015141	-1.5597595	fumarate hydratase
SURF2	205224_at	0.04383	0.00158221	-3.8314534	-1.015026	-1.66821898	surfeit 2
KDM1B	227021_at	0.04381	0.00157698	3.8330566	-1.011958	1.36045943	lysine demethylase 1B
CD200R1	1552875_a_at	0.0438	0.00157589	3.8333927	-1.011314	2.98574136	CD200 receptor 1
CARD6	224414_s_at	0.0438	0.00157422	3.8339045	-1.010335	1.62274468	caspase recruitment domain family member 6
CENPN	228559_at	0.0438	0.00157489	-3.8336998	-1.010726	-1.68304068	centromere protein N
PRSS3P2	215395_x_at	0.04379	0.00157298	3.8342872	-1.009602	1.6884965	"protease, serine 3 pseudogene 2"
NRBF2	221803_s_at	0.04374	0.00157047	3.8350607	-1.008121	1.69874087	nuclear receptor binding factor 2
C20orf187	233598_at	0.04362	0.00156516	3.836704	-1.004976	1.88734537	chromosome 20 open reading frame 187
ZNF718///ZNF595///ZNF208	208542_x_at	0.0436	0.00156382	3.837119	-1.004181	2.6641707	zinc finger protein 718///zinc finger protein 595///zinc finger protein 208
MIS12	221559_s_at	0.0436	0.00156384	-3.8371116	-1.004196	-1.15849263	"MIS12, kinetochore complex component"
TYROBP	204122_at	0.04358	0.00156152	3.8378329	-1.002815	2.11107714	TYRO protein tyrosine kinase binding protein
CD101	244652_at	0.04358	0.00155359	3.8402985	-0.998096	1.60598692	CD101 molecule
RFX4	1552809_at	0.04358	0.00155498	3.8398652	-0.998925	1.51779164	regulatory factor X4
CYP4A11	207407_x_at	0.04358	0.00155838	3.8388071	-1.00095	1.47735519	cytochrome P450 family 4 subfamily A member 11
NUP214	202155_s_at	0.04358	0.00155769	3.839021	-1.000541	1.14201421	nucleoporin 214
TMEM135	222209_s_at	0.04358	0.00156027	-3.8382206	-1.002073	-1.43864491	transmembrane protein 135
RASD1	223467_at	0.04358	0.0015567	-3.8393298	-0.99995	-1.70912767	ras related dexamethasone induced 1
DDIT4	202887_s_at	0.04358	0.00156136	-3.8378814	-1.002722	-1.76786294	DNA damage inducible transcript 4
SLC25A37	226179_at	0.04358	0.00155969	-3.8383996	-1.00173	-1.98620857	solute carrier family 25 member 37
ACOX2	205364_at	0.04358	0.00155975	-3.8383808	-1.001766	-2.21207004	acyl-CoA oxidase 2
SSBP4	229269_x_at	0.04358	0.00156017	-3.8382505	-1.002016	-2.7070601	single stranded DNA binding protein 4
	239701_at	0.0435	0.00154923	3.8416619	-0.995486	1.91664444	
S100A6	228923_at	0.0435	0.00154976	3.8414969	-0.995802	1.69047142	S100 calcium binding protein A6
MYL6	212082_s_at	0.04338	0.001544	3.8432998	-0.992351	1.20154196	myosin light chain 6
GMDS	214106_s_at	0.04338	0.00154349	-3.843462	-0.992041	-1.4569713	"GDP-mannose 4,6-dehydratase"
LOC100506526	1559540_at	0.04335	0.0015414	3.8441188	-0.990784	2.51447009	uncharacterized LOC100506526
DDI2///RSC1A1	225780_at	0.04335	0.00154064	-3.8443564	-0.990329	-1.39577951	"DNA damage inducible 1 homolog 2///regulatory solute carrier protein, family 1, member 1"
CDK1	210559_s_at	0.04332	0.0015386	-3.8449977	-0.989101	-1.55335427	cyclin dependent kinase 1
CDA	205627_at	0.0433	0.00153639	3.8456954	-0.987766	4.91766429	cytidine deaminase
LOC642846///DDX12P///DDX11	213378_s_at	0.0433	0.00153706	-3.8454853	-0.988168	-1.00161721	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like///DEAD/H-box helicase 12, pseudogene///DEAD/H-box helicase 11"
PELO	221076_at	0.04327	0.00153464	3.8462487	-0.986707	2.47849712	pelota homolog (Drosophila)
	AFFX-r2-Bs-phe-5_at	0.04313	0.00152625	3.8489055	-0.981623	3.19819575	
ITGB2-AS1	229040_at	0.04313	0.00152334	3.8498306	-0.979852	2.5371449	ITGB2 antisense RNA 1
MCTP1	1554730_at	0.04313	0.00152776	3.8484257	-0.982541	1.63927331	multiple C2 and transmembrane domain containing 1
ARHGAP25	38149_at	0.04313	0.00152566	3.8490937	-0.981263	1.40964875	Rho GTPase activating protein 25
UBL3	201535_at	0.04313	0.00152714	3.8486245	-0.98216	1.04576427	ubiquitin like 3
MSL1	224765_at	0.04313	0.00152805	3.8483358	-0.982713	1.03582732	male specific lethal 1 homolog
POP5	204839_at	0.04313	0.00152411	-3.8495851	-0.980322	-1.0476872	"POP5 homolog, ribonuclease P/MRP subunit"
LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1	221501_x_at	0.04313	0.00152394	-3.8496414	-0.980214	-1.09017528	"polycystin-1-like///nuclear pore complex interacting protein family member A8///nuclear pore complex interacting protein family member A7///nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member A2///nuclear pore complex interacting protein family member A3///polycystin 1, transient receptor potential channel interacting pseudogene 1///nuclear pore complex interacting protein family member A1"
PFKFB4	228499_at	0.04309	0.0015202	3.8508326	-0.977935	1.28873968	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
ICK	204569_at	0.04309	0.00152019	3.8508355	-0.977929	1.25438707	intestinal cell (MAK-like) kinase
STRADB	223266_at	0.04309	0.00151999	-3.8509003	-0.977805	-1.66231321	STE20-related kinase adaptor beta
MYL12A	1555976_s_at	0.04307	0.00151723	3.8517789	-0.976124	1.43380141	myosin light chain 12A
VPS53	235882_at	0.04301	0.00151382	3.8528723	-0.974031	1.1303307	"VPS53, GARP complex subunit"
CCNB1	214710_s_at	0.04301	0.0015142	-3.8527495	-0.974266	-1.77299387	cyclin B1
WTAP	203137_at	0.04296	0.00151088	3.8538127	-0.972232	1.2374295	Wilms tumor 1 associated protein
SGTB	232084_at	0.04291	0.0015055	3.8555442	-0.968918	2.19062849	small glutamine rich tetratricopeptide repeat containing beta
FYB	211795_s_at	0.04291	0.00150755	3.8548837	-0.970182	2.01624191	FYN binding protein
DPY19L3	225633_at	0.04291	0.00150619	3.8553206	-0.969346	1.03311175	dpy-19 like 3 (C. elegans)
CDC16	209658_at	0.04291	0.00150693	-3.8550822	-0.969802	-1.09980762	cell division cycle 16
TUBG2	203894_at	0.04291	0.00150836	-3.854624	-0.970679	-2.32524464	tubulin gamma 2
	236437_at	0.04287	0.00150326	3.8562653	-0.967539	1.13711185	
SLC25A24	204342_at	0.04283	0.0015006	3.857124	-0.965895	1.16876766	solute carrier family 25 member 24
SPATA33	229660_at	0.04283	0.00150107	-3.8569705	-0.966189	-1.577181	spermatogenesis associated 33
CBX5	231862_at	0.04274	0.00149633	-3.8585069	-0.963249	-1.33656394	chromobox 5
SNORA21///RPL23	214744_s_at	0.04273	0.00149513	-3.858893	-0.962511	-1.24080036	"small nucleolar RNA, H/ACA box 21///ribosomal protein L23"
SVIP	230005_at	0.04269	0.00149283	3.8596407	-0.96108	1.25297033	small VCP interacting protein
RP2	205191_at	0.04263	0.00149006	3.8605429	-0.959354	1.85223771	retinitis pigmentosa 2 (X-linked recessive)
ENOSF1	204142_at	0.04262	0.00148881	-3.8609471	-0.95858	-1.72018444	enolase superfamily member 1
FGF1	208240_s_at	0.0426	0.00148677	3.8616122	-0.957308	1.99487976	fibroblast growth factor 1
ALKBH7	223318_s_at	0.0426	0.00148722	-3.8614656	-0.957588	-1.32589125	alkB homolog 7
	1568742_at	0.04259	0.00148563	3.8619867	-0.956591	1.52988504	
	216534_at	0.04253	0.00148019	3.8637637	-0.953191	2.37568513	
	237077_at	0.04253	0.00148115	3.8634492	-0.953793	2.10497494	
CYB5D1	226833_at	0.04253	0.00148188	-3.8632102	-0.95425	-1.02714824	cytochrome b5 domain containing 1
OPTN	202073_at	0.04253	0.00147982	-3.8638842	-0.95296	-1.85831533	optineurin
CA2	209301_at	0.04253	0.00147886	-3.8642015	-0.952353	-2.60065493	carbonic anhydrase 2
SERPINB6	231655_x_at	0.04246	0.00147554	3.865291	-0.950269	2.26512267	serpin family B member 6
C11orf87	236532_at	0.04243	0.00147387	3.8658405	-0.949218	3.23398607	chromosome 11 open reading frame 87
KIAA1033	212795_at	0.04243	0.00147309	3.8660951	-0.948731	1.06143339	KIAA1033
	1560775_at	0.04234	0.00146786	3.8678219	-0.945427	2.07469111	
	1561421_a_at	0.04234	0.00146718	3.8680461	-0.944998	1.93548164	
RCN1	201063_at	0.04234	0.00146909	-3.8674155	-0.946204	-1.79211727	reticulocalbin 1
SLC25A37	222528_s_at	0.04234	0.00146863	-3.8675679	-0.945913	-2.00325008	solute carrier family 25 member 37
DNMT1	201697_s_at	0.04225	0.0014628	-3.8694966	-0.942223	-1.60534144	DNA (cytosine-5-)-methyltransferase 1
FLOT1	213819_s_at	0.04222	0.00146095	3.8701088	-0.941052	1.37522829	flotillin 1
ACER3	227776_at	0.04222	0.00146109	3.8700633	-0.941139	1.0893801	alkaline ceramidase 3
CDK6	224848_at	0.04222	0.00145929	-3.8706616	-0.939994	-1.63795205	cyclin dependent kinase 6
GJB6	231771_at	0.04213	0.00145545	3.8719397	-0.937549	4.06294626	gap junction protein beta 6
GPATCH4	224634_at	0.04213	0.00145483	-3.8721469	-0.937153	-1.55349107	G-patch domain containing 4
MGAT4D	1569995_at	0.04209	0.00145275	3.8728387	-0.93583	2.48473227	MGAT4 family member D
	241916_at	0.04209	0.00145189	3.873127	-0.935278	1.38969006	
TEX9	1566606_a_at	0.04209	0.00145221	-3.8730192	-0.935484	-2.20694306	testis expressed 9
	233542_at	0.04206	0.00144939	3.8739621	-0.933681	2.34359094	
MYD88	209124_at	0.04206	0.00144871	3.8741904	-0.933244	1.24464094	myeloid differentiation primary response 88
AHCTF1P1///AHCTF1	1560224_at	0.04201	0.00144577	3.8751757	-0.931359	1.29705177	AT-hook containing transcription factor 1 pseudogene 1///AT-hook containing transcription factor 1
MAPK1	224621_at	0.04201	0.00144605	3.8750819	-0.931538	1.25241846	mitogen-activated protein kinase 1
APOL3	221087_s_at	0.04201	0.00144464	-3.8755544	-0.930635	-3.13449625	apolipoprotein L3
CHN2	1557769_at	0.04194	0.0014413	3.8766792	-0.928483	1.54299552	chimerin 2
LOC149684///BPI	244231_at	0.0419	0.00143932	3.8773463	-0.927207	1.1167425	uncharacterized LOC149684///bactericidal/permeability-increasing protein
HEMGN	223670_s_at	0.0419	0.00143871	-3.8775518	-0.926814	-3.94877736	hemogen
TNFRSF10C	206222_at	0.04188	0.00143679	3.8781976	-0.925579	2.4923512	TNF receptor superfamily member 10c
NPTN	202228_s_at	0.04188	0.00143708	3.8781007	-0.925764	1.31460685	neuroplastin
RUFY3	213437_at	0.0418	0.00143268	-3.8795872	-0.922921	-2.57785897	RUN and FYVE domain containing 3
MAD2L1	1554768_a_at	0.04178	0.00143125	-3.8800712	-0.921995	-1.54357355	MAD2 mitotic arrest deficient-like 1 (yeast)
USP11	208723_at	0.04173	0.00142862	-3.8809655	-0.920284	-1.60758834	ubiquitin specific peptidase 11
SPATA13	1556601_a_at	0.04167	0.00142284	3.8829331	-0.916521	2.25282164	spermatogenesis associated 13
MIR646HG	236846_at	0.04167	0.00142576	3.8819364	-0.918427	1.65651935	MIR646 host gene
	244679_at	0.04167	0.00142603	3.8818448	-0.918603	1.26381656	
	241630_at	0.04167	0.00142402	3.8825308	-0.917291	1.05046419	
NOP14	214661_s_at	0.04167	0.00142506	-3.8821767	-0.917968	-1.24462245	NOP14 nucleolar protein
TPGS2	212055_at	0.04167	0.00142224	-3.883136	-0.916133	-1.71270222	tubulin polyglutamylase complex subunit 2
PKIG	202732_at	0.04167	0.00142176	-3.8832989	-0.915822	-2.5734704	"protein kinase (cAMP-dependent, catalytic) inhibitor gamma"
AGBL3	1554820_at	0.04166	0.0014197	3.8840021	-0.914476	2.71746316	ATP/GTP binding protein like 3
	1569208_a_at	0.04166	0.00141757	3.8847333	-0.913078	2.0686387	
FANCA	203806_s_at	0.04166	0.00141873	-3.8843371	-0.913836	-1.19552018	Fanconi anemia complementation group A
CDK10	203469_s_at	0.04166	0.00142021	-3.8838303	-0.914805	-2.18817282	cyclin dependent kinase 10
TNFAIP8L2	223583_at	0.04165	0.00141585	3.8853202	-0.911956	1.8638247	TNF alpha induced protein 8 like 2
PPP2R3C	239188_at	0.04165	0.00141627	3.8851788	-0.912226	1.25308165	protein phosphatase 2 regulatory subunit B''gamma
COQ3	223515_s_at	0.04165	0.00141568	-3.8853783	-0.911845	-1.56927838	"coenzyme Q3, methyltransferase"
PTPN18	1569552_at	0.04152	0.00140949	3.8875063	-0.907775	1.30864833	"protein tyrosine phosphatase, non-receptor type 18"
ITPA	209171_at	0.04152	0.00140924	-3.8875916	-0.907612	-1.03988997	inosine triphosphatase
COL11A1	229271_x_at	0.04137	0.00140286	-3.8897922	-0.903403	-2.33829687	collagen type XI alpha 1 chain
PRMT7	219408_at	0.04132	0.00140037	-3.8906552	-0.901753	-2.73896507	protein arginine methyltransferase 7
MCEMP1	235568_at	0.0413	0.00139304	3.8932023	-0.896882	2.88538974	mast cell expressed membrane protein 1
CLEC4E	222934_s_at	0.0413	0.00139906	3.8911087	-0.900886	2.30879051	C-type lectin domain family 4 member E
SHOX2	210135_s_at	0.0413	0.0013953	3.8924173	-0.898383	2.19044199	short stature homeobox 2
MIIP	218551_at	0.0413	0.00139833	3.8913639	-0.900398	1.63177739	migration and invasion inhibitory protein
WRAP73	236381_s_at	0.0413	0.00139472	3.8926189	-0.897998	1.443223	"WD repeat containing, antisense to TP73"
KIF5B	201991_s_at	0.0413	0.00139616	3.8921165	-0.898958	1.15414547	kinesin family member 5B
PSMB5	208799_at	0.0413	0.00139732	-3.891714	-0.899728	-1.342226	proteasome subunit beta 5
SMC2	204240_s_at	0.0413	0.0013983	-3.891372	-0.900382	-1.49715981	structural maintenance of chromosomes 2
GAD1	205278_at	0.0413	0.00139772	-3.8915751	-0.899994	-3.91558346	glutamate decarboxylase 1
FTSJ1	205324_s_at	0.04129	0.00139165	-3.8936855	-0.895958	-1.14369854	FtsJ RNA methyltransferase homolog 1 (E. coli)
DNAAF5	218460_at	0.04129	0.00139134	-3.8937937	-0.895751	-1.5734552	dynein axonemal assembly factor 5
CD24	209772_s_at	0.04125	0.00138532	3.8958995	-0.891725	2.58409257	CD24 molecule
IRAK3	1568830_at	0.04125	0.00138862	3.894743	-0.893936	2.1523199	interleukin 1 receptor associated kinase 3
CLDN8	214598_at	0.04125	0.001386	3.895661	-0.892181	2.05414343	claudin 8
	1569346_a_at	0.04125	0.00138443	3.8962099	-0.891131	1.91737848	
RPGR	207624_s_at	0.04125	0.00138662	3.8954446	-0.892594	1.26115902	retinitis pigmentosa GTPase regulator
CISD2	226686_at	0.04125	0.00138807	-3.8949378	-0.893564	-1.5687746	CDGSH iron sulfur domain 2
TSEN15	225400_at	0.04125	0.00138906	-3.8945894	-0.89423	-2.11267988	tRNA splicing endonuclease subunit 15
ACAA2	202003_s_at	0.04125	0.00138478	-3.8960881	-0.891364	-2.13140108	acetyl-CoA acyltransferase 2
KBTBD7	229298_at	0.0412	0.00138108	3.8973871	-0.88888	1.39788516	kelch repeat and BTB domain containing 7
DHX30	204355_at	0.0412	0.00138131	-3.8973058	-0.889036	-1.08313824	DEAH-box helicase 30
LOC101928985	1561107_at	0.04119	0.00137928	3.8980192	-0.887672	1.81583792	uncharacterized LOC101928985
DNASE1	243127_x_at	0.04118	0.00137845	3.8983107	-0.887114	1.9393805	deoxyribonuclease 1
WDR70	219193_at	0.04118	0.00137785	-3.8985231	-0.886708	-1.10381657	WD repeat domain 70
POLR2H	209302_at	0.04118	0.00137793	-3.8984936	-0.886764	-1.14060721	RNA polymerase II subunit H
LOC283075	234110_at	0.04111	0.00137343	3.9000822	-0.883727	2.64850772	uncharacterized LOC283075
LINC00689	1570376_at	0.04111	0.00137356	3.9000358	-0.883816	1.73049323	long intergenic non-protein coding RNA 689
LOC730268///ANAPC1	218575_at	0.04111	0.00137364	-3.9000081	-0.883869	-1.22370969	anaphase-promoting complex subunit 1-like///anaphase promoting complex subunit 1
KLHDC8B	225755_at	0.04111	0.00137323	-3.9001529	-0.883592	-1.51020624	kelch domain containing 8B
B4GALT5	221485_at	0.04096	0.00136336	3.9036536	-0.876899	2.08515857	"beta-1,4-galactosyltransferase 5"
	234223_at	0.04096	0.00136544	3.9029164	-0.878308	1.77899072	
BTBD10	223174_at	0.04096	0.00136542	3.902923	-0.878296	1.57608425	BTB domain containing 10
MAP3K2	221695_s_at	0.04096	0.00136046	3.904689	-0.87492	1.52384836	mitogen-activated protein kinase kinase kinase 2
	242933_at	0.04096	0.00136205	3.9041205	-0.876007	1.50543075	
	237103_at	0.04096	0.00135925	3.905121	-0.874094	1.4163927	
HNRNPA3///HNRNPA3P1	211931_s_at	0.04096	0.00136587	-3.9027615	-0.878605	-1.06003421	heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
KLHDC4	221219_s_at	0.04096	0.00135879	-3.9052829	-0.873784	-1.07999556	kelch domain containing 4
DDX11	232816_s_at	0.04096	0.00135468	-3.9067536	-0.870973	-1.26194564	DEAD/H-box helicase 11
VDAC1	217140_s_at	0.04096	0.00135744	-3.9057655	-0.872862	-1.28939744	voltage dependent anion channel 1
RDH11	217776_at	0.04096	0.00136142	-3.9043454	-0.875576	-1.37786986	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
TMPO	224944_at	0.04096	0.00135867	-3.9053277	-0.873699	-1.54625866	thymopoietin
PEAR1	228618_at	0.04096	0.00136004	-3.9048394	-0.874632	-1.67159296	platelet endothelial aggregation receptor 1
RABGAP1L	213982_s_at	0.04096	0.00135861	-3.9053499	-0.873656	-1.7067702	RAB GTPase activating protein 1 like
LOC101928806	241416_at	0.04096	0.00135991	-3.904884	-0.874547	-2.03573449	uncharacterized LOC101928806
NEDD4L	212445_s_at	0.04096	0.00135671	-3.9060272	-0.872361	-2.1595974	"neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase"
PLPP4	236044_at	0.04096	0.00135613	-3.9062363	-0.871962	-2.18585689	phospholipid phosphatase 4
USP21	234735_s_at	0.04096	0.00135604	-3.9062688	-0.871899	-2.47789962	ubiquitin specific peptidase 21
YPEL4	235916_at	0.04096	0.00135574	-3.9063762	-0.871694	-3.23759201	yippee like 4
CKAP5	1555278_a_at	0.04093	0.00134901	-3.9087922	-0.867076	-1.74106266	cytoskeleton associated protein 5
	1561195_at	0.04093	0.00134985	-3.9084894	-0.867654	-2.75537906	
KPNA2	211762_s_at	0.04092	0.00134705	-3.9094964	-0.865729	-1.21200593	karyopherin subunit alpha 2
RARRES3	204070_at	0.04092	0.00134789	-3.909196	-0.866304	-2.03217223	retinoic acid receptor responder 3
ZNF416	223589_at	0.04092	0.0013468	-3.9095874	-0.865555	-2.44203686	zinc finger protein 416
CEACAM21	214907_at	0.04091	0.0013374	3.912989	-0.859053	2.72198467	carcinoembryonic antigen related cell adhesion molecule 21
LINC00424	1562080_at	0.04091	0.00134148	3.911509	-0.861882	2.05597746	long intergenic non-protein coding RNA 424
HIP1	205425_at	0.04091	0.00134271	3.9110634	-0.862734	1.72105434	huntingtin interacting protein 1
	237798_at	0.04091	0.00134385	3.910651	-0.863522	1.66419436	
NADK	213607_x_at	0.04091	0.00134444	3.9104385	-0.863928	1.46643522	NAD kinase
BCL6	228758_at	0.04091	0.00134495	3.9102555	-0.864278	1.43974688	B-cell CLL/lymphoma 6
CCDC152	237475_x_at	0.04091	0.0013453	3.9101272	-0.864523	1.38790691	coiled-coil domain containing 152
UGP2	205480_s_at	0.04091	0.00133901	3.9124044	-0.860171	1.23538765	UDP-glucose pyrophosphorylase 2
MCUR1	220094_s_at	0.04091	0.00134477	-3.9103185	-0.864158	-1.43167798	mitochondrial calcium uniporter regulator 1
NUP37	218622_at	0.04091	0.00134168	-3.9114351	-0.862023	-1.48632853	nucleoporin 37
DNPEP	201937_s_at	0.04091	0.00134453	-3.9104061	-0.86399	-1.89760682	aspartyl aminopeptidase
THRB	229657_at	0.04091	0.00134277	-3.9110409	-0.862777	-2.44390248	thyroid hormone receptor beta
ACTR3	228603_at	0.04087	0.00133517	3.9137981	-0.857507	1.10556344	ARP3 actin related protein 3 homolog
MINPP1	209585_s_at	0.04087	0.0013344	-3.9140778	-0.856972	-3.69020859	multiple inositol-polyphosphate phosphatase 1
JDP2	239085_at	0.04083	0.0013314	3.9151716	-0.854881	1.1728441	Jun dimerization protein 2
HSD17B4	201413_at	0.04083	0.00133227	-3.9148535	-0.855489	-1.29349658	hydroxysteroid 17-beta dehydrogenase 4
LZTFL1	218437_s_at	0.04083	0.00133226	-3.9148572	-0.855482	-1.29581518	leucine zipper transcription factor like 1
FNIP2	226460_at	0.04083	0.00133004	-3.9156658	-0.853937	-1.30442276	folliculin interacting protein 2
LOC101927539	1570182_at	0.04077	0.00132716	3.9167175	-0.851927	1.69566807	uncharacterized LOC101927539
SFRP1	202035_s_at	0.04068	0.00132302	3.9182364	-0.849024	2.13821898	secreted frizzled related protein 1
RCHY1	235300_x_at	0.04068	0.00132357	3.9180357	-0.849407	1.42876696	ring finger and CHY zinc finger domain containing 1
FUT9	207696_at	0.04063	0.00131846	3.9199131	-0.845819	2.26159871	fucosyltransferase 9
GTF3A	215091_s_at	0.04063	0.00131808	-3.9200542	-0.845549	-1.07013526	general transcription factor IIIA
SSBP2	203787_at	0.04063	0.00131661	-3.9205942	-0.844517	-1.28971536	single stranded DNA binding protein 2
TONSL	1558329_at	0.04063	0.00131895	-3.919731	-0.846167	-2.18828604	"tonsoku-like, DNA repair protein"
TSPAN17	225235_at	0.04063	0.00131976	-3.9194334	-0.846736	-2.20547117	tetraspanin 17
IGK	211908_x_at	0.04063	0.00131814	-3.9200293	-0.845597	-3.05914632	immunoglobulin kappa locus
	236010_at	0.04062	0.00131501	3.9211845	-0.843389	2.76573498	
ADRB2	206170_at	0.04062	0.00131434	3.9214309	-0.842918	2.42974339	adrenoceptor beta 2
PPM1M	226074_at	0.04062	0.00131404	3.9215445	-0.842701	1.47825394	"protein phosphatase, Mg2+/Mn2+ dependent 1M"
WRAP73	219322_s_at	0.04062	0.00131049	3.9228585	-0.84019	1.38272314	"WD repeat containing, antisense to TP73"
STK4	243981_at	0.04062	0.00131449	3.9213755	-0.843024	1.2142944	serine/threonine kinase 4
ZNF770	220608_s_at	0.04062	0.00131486	3.9212409	-0.843282	1.10755796	zinc finger protein 770
RECQL4	1553015_a_at	0.04062	0.00130966	-3.9231635	-0.839607	-1.39911244	RecQ like helicase 4
HTRA2	203089_s_at	0.04062	0.00131189	-3.9223371	-0.841187	-1.50590656	HtrA serine peptidase 2
HACD3	234000_s_at	0.04062	0.00131273	-3.9220269	-0.841779	-1.78869597	3-hydroxyacyl-CoA dehydratase 3
DPCD	1553976_a_at	0.0406	0.00130725	-3.9240574	-0.837899	-1.70932204	deleted in primary ciliary dyskinesia homolog (mouse)
BHLHE40	201169_s_at	0.0406	0.00130762	-3.9239214	-0.838159	-2.00350796	basic helix-loop-helix family member e40
	229934_at	0.04058	0.00130553	3.9246973	-0.836676	2.86384105	
LOC647070	215467_x_at	0.04058	0.0013053	3.9247852	-0.836508	1.60158698	"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like"
NADK	208918_s_at	0.04057	0.00130269	3.9257547	-0.834656	1.42699443	NAD kinase
METAP2	209861_s_at	0.04057	0.00130365	-3.9253991	-0.835335	-1.54716369	methionyl aminopeptidase 2
IL27RA	222062_at	0.04057	0.00130335	-3.9255088	-0.835125	-2.71430045	interleukin 27 receptor subunit alpha
CCDC153	240293_at	0.04048	0.00129866	3.9272593	-0.83178	1.26566214	coiled-coil domain containing 153
EMB	239072_at	0.04045	0.00129667	3.9280069	-0.830352	2.30799164	embigin
LOC100421171	1561665_at	0.04045	0.00129413	3.9289585	-0.828534	2.22215261	thyroid hormone receptor interactor 11 pseudogene
BCL6	203140_at	0.04045	0.00129514	3.9285801	-0.829257	1.87203213	B-cell CLL/lymphoma 6
ZNF329	219765_at	0.04045	0.00129666	-3.9280111	-0.830344	-1.55067521	zinc finger protein 329
MIR1182///FAM89A	226448_at	0.04045	0.00129691	-3.9279155	-0.830526	-1.74032092	microRNA 1182///family with sequence similarity 89 member A
LOC286177	1562365_at	0.04038	0.00129107	3.9301074	-0.826338	2.39787236	uncharacterized LOC286177
	244415_at	0.04038	0.0012911	3.9300954	-0.826361	1.50034143	
PAAF1	218957_s_at	0.04038	0.00128922	-3.9308031	-0.825009	-1.29367555	proteasomal ATPase associated factor 1
ARL9	229062_at	0.04038	0.0012898	-3.9305864	-0.825423	-2.18719598	ADP ribosylation factor like GTPase 9
	AFFX-PheX-5_at	0.04035	0.00128594	3.9320412	-0.822643	3.37970269	
TIMM23B///TIMM23	218118_s_at	0.04035	0.00128641	-3.9318646	-0.822981	-1.2805051	translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23
ARHGEF9	203264_s_at	0.04035	0.00128703	-3.9316297	-0.82343	-1.47439126	Cdc42 guanine nucleotide exchange factor 9
